# SGE Quality Issues Database
# id	file_path	category	status	severity	description	last_updated
ISS-234	sge/src/main/scala/sge/assets/loaders/BitmapFontLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-235	sge/src/main/scala/sge/assets/loaders/CubemapLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-236	sge/src/main/scala/sge/assets/loaders/FileHandleResolver.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-237	sge/src/main/scala/sge/assets/loaders/I18NBundleLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-238	sge/src/main/scala/sge/assets/loaders/ModelLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-239	sge/src/main/scala/sge/assets/loaders/MusicLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-240	sge/src/main/scala/sge/assets/loaders/ParticleEffectLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-241	sge/src/main/scala/sge/assets/loaders/PixmapLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-242	sge/src/main/scala/sge/assets/loaders/ShaderProgramLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-243	sge/src/main/scala/sge/assets/loaders/SkinLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-244	sge/src/main/scala/sge/assets/loaders/SoundLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-245	sge/src/main/scala/sge/assets/loaders/TextureAtlasLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-246	sge/src/main/scala/sge/assets/loaders/TextureLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-247	(review)	review-codex	open	info	[RR-017] #### RR-017. Several canonical real-asset decoding flows are still missing end-to-end tests	2026-03-19
ISS-248	sge/src/test/scala/sge/graphics/g3d/loader/G3dModelLoaderTest.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-249	sge/src/test/scala/sge/maps/tiled/BaseTiledMapLoaderTest.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-250	sge/src/test/scala/sge/scenes/scene2d/ui/SkinStyleReaderTest.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-251	sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-252	sge/src/main/scala/sge/maps/tiled/TideMapLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-253	(review)	review-cursor	open	major	[CR-001] #### CR-001. No tests for Game or Screen flow	2026-03-19
ISS-254	sge/src/main/scala/sge/Game.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/Game.scala`, `sge/src/main/scala/sge/Screen.scala`; test search shows no `Game`/`Screen`/`setScreen`/`screen_=` in tests.	2026-03-19
ISS-255	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-256	sge/src/main/scala/sge/graphics/g2d/Gdx2DPixmap.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-257	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-258	sge/src/main/scala/sge/scenes/scene2d/Stage.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-259	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-260	sge/src/main/scala/sge/graphics/g2d/GlyphLayout.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-261	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-262	sge/src/main/scala/sge/net/SgeHttpResponse.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-263	(review)	review-cursor	open	major	[CR-006] #### CR-006. BitmapFontCache.setColors / draw(Batch, start, end) — break() exits whole method	2026-03-19
ISS-264	sge/src/main/scala/sge/graphics/g2d/BitmapFontCache.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/graphics/g2d/BitmapFontCache.scala` (lines 202, 253, 264).	2026-03-19
ISS-265	(review)	review-cursor	open	major	[CR-007] #### CR-007. ComparableTimSort and ObjLoader use raw null	2026-03-19
ISS-266	sge/src/main/scala/sge/utils/ComparableTimSort.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/utils/ComparableTimSort.scala` (96, 99); `sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala` (82–83, 100, 122, 347–348).	2026-03-19
ISS-267	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-268	sge/src/main/scala/sge/utils/SgeError.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-269	(review)	review-cursor	open	major	[CR-009] #### CR-009. No flow test for AssetManager → Loader → resource	2026-03-19
ISS-270	sge/src/test/scala/sge/assets/AssetManagerUnitTest.scala	review-cursor	open	major	**Files:** `sge/src/test/scala/sge/assets/AssetManagerUnitTest.scala`; all loaders under `sge/src/main/scala/sge/assets/loaders/`.	2026-03-19
ISS-271	(review)	review-cursor	open	major	[CR-010] #### CR-010. All concrete asset loaders documented as untested	2026-03-19
ISS-272	(review)	review-cursor	open	major	[CR-011] #### CR-011. RefCountedContainer uses var obj: Any = null	2026-03-19
ISS-273	sge/src/main/scala/sge/assets/AssetManager.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/assets/AssetManager.scala` (lines 853–854).	2026-03-19
ISS-274	(review)	review-cursor	open	major	[CR-012] #### CR-012. compareTo / compare stubs in light attributes and DefaultShader	2026-03-19
ISS-275	sge/src/main/scala/sge/graphics/g3d/attributes/SpotLightsAttribute.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/graphics/g3d/attributes/SpotLightsAttribute.scala` (56), `PointLightsAttribute.scala`, `DirectionalLightsAttribute.scala`; `sge/src/main/scala/sge/graphics/g3d/shade	2026-03-19
ISS-276	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-277	sge/src/main/scala/sge/graphics/g3d/ModelCache.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-278	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-279	sge/src/main/scala/sge/graphics/g3d/decals/DecalBatch.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-280	(review)	review-cursor	open	major	[CR-015] #### CR-015. DecalBatch.close() sets vertices = null	2026-03-19
ISS-281	sge/src/main/scala/sge/graphics/g3d/decals/DecalBatch.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/graphics/g3d/decals/DecalBatch.scala` (line 206).	2026-03-19
ISS-282	(review)	review-cursor	open	major	[CR-016] #### CR-016. DefaultRenderableSorter has incomplete sorting (FIXME)	2026-03-19
ISS-283	sge/src/main/scala/sge/graphics/g3d/utils/DefaultRenderableSorter.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/graphics/g3d/utils/DefaultRenderableSorter.scala` (61–64).	2026-03-19
ISS-284	(review)	review-cursor	open	major	[CR-017] #### CR-017. Pool.Poolable TODOs for Scene2D and g3d types	2026-03-19
ISS-285	sge/src/main/scala/sge/scenes/scene2d/Action.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/scenes/scene2d/Action.scala`, `Event.scala`, `scenes/scene2d/ui/Cell.scala`; `sge/src/main/scala/sge/graphics/g3d/utils/BaseAnimationController.scala` (Transform); `	2026-03-19
ISS-286	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-287	sge/src/main/scala/sge/utils/StreamUtils.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-288	(review)	review-cursor	open	major	[CR-019] #### CR-019. SpriteCache tempVertices — possible shared mutable state	2026-03-19
ISS-289	sge/src/main/scala/sge/graphics/g2d/SpriteCache.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/graphics/g2d/SpriteCache.scala` (uses of `tempVertices` 272+).	2026-03-19
ISS-290	(review)	review-cursor	open	major	[CR-020] #### CR-020. Scene2D has almost no tests	2026-03-19
ISS-291	sge/src/test/scala/sge/scenes/scene2d/ui/SkinStyleReaderTest.scala	review-cursor	open	major	**Files:** `sge/src/test/scala/sge/scenes/scene2d/ui/SkinStyleReaderTest.scala`; all of `sge/src/main/scala/sge/scenes/scene2d/`.	2026-03-19
ISS-292	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-293	sge/src/main/scala/sge/maps/MapProperties.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-294	(review)	review-cursor	open	major	[CR-022] #### CR-022. Tiled map loaders use null / orNull	2026-03-19
ISS-295	sge/src/main/scala/sge/maps/tiled/BaseTmjMapLoader.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/maps/tiled/BaseTmjMapLoader.scala` (154, 278, 637, 753); `BaseTmxMapLoader.scala` (316 and similar).	2026-03-19
ISS-296	(review)	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-297	sge/src/main/scala/sge/utils/Timer.scala	review-cursor	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-298	(review)	review-cursor	open	major	[CR-024] #### CR-024. RemoteInput has unwired postRunnable and stub behavior	2026-03-19
ISS-299	sge/src/main/scala/sge/input/RemoteInput.scala	review-cursor	open	major	**Files:** `sge/src/main/scala/sge/input/RemoteInput.scala` (migration notes and method bodies).	2026-03-19
ISS-300	(review)	review-cursor	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-301	physics/src/main/scalajvm/sge/platform/PhysicsOpsPanama.scala	review-cursor	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-302	(review)	review-cursor	open	critical	[CR-026] #### CR-026. No integration tests for rendering, input, or asset flows	2026-03-19
ISS-303	(review)	review-cursor	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-304	(review)	review-cursor	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-305	sge/src/main/scala/sge/graphics/g2d/Gdx2DPixmap.scala	review-cursor	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-306	sge/src/main/scala/sge/assets/loaders/TextureAtlasLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/TextureAtlasLoader.scala:9] Missing test for TextureAtlasLoader getDependencies resolves page textures; load assembles atlas (requires GL context)	2026-03-19
ISS-307	sge/src/main/scala/sge/assets/loaders/ParticleEffectLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/ParticleEffectLoader.scala:9] Missing test for ParticleEffectLoader load with atlas file, images directory, and default parameters	2026-03-19
ISS-308	sge/src/main/scala/sge/assets/loaders/ShaderProgramLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/ShaderProgramLoader.scala:10] Missing test for ShaderProgramLoader file suffix resolution (.vert/.frag) and code prepend logic	2026-03-19
ISS-309	sge/src/main/scala/sge/assets/loaders/TextureLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/TextureLoader.scala:9] Missing test for TextureLoader loadAsync/loadSync with parameter-supplied and file-loaded data (requires GL context)	2026-03-19
ISS-310	sge/src/main/scala/sge/assets/loaders/SkinLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/SkinLoader.scala:9] Missing test for SkinLoader getDependencies resolves atlas; loadSync applies resources (requires GL context)	2026-03-19
ISS-311	sge/src/main/scala/sge/assets/loaders/SoundLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/SoundLoader.scala:10] Missing test for SoundLoader loadAsync/loadSync (requires audio backend)	2026-03-19
ISS-312	sge/src/main/scala/sge/assets/loaders/MusicLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/MusicLoader.scala:10] Missing test for MusicLoader loadAsync/loadSync (requires audio backend)	2026-03-19
ISS-313	sge/src/main/scala/sge/assets/loaders/PixmapLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/PixmapLoader.scala:10] Missing test for PixmapLoader loadAsync/loadSync (requires GL context)	2026-03-19
ISS-314	sge/src/main/scala/sge/assets/loaders/ModelLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/ModelLoader.scala:10] Missing test for ModelLoader getDependencies collects texture dependencies; loadSync assembles Model (requires GL context)	2026-03-19
ISS-315	sge/src/main/scala/sge/assets/loaders/I18NBundleLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/I18NBundleLoader.scala:9] Missing test for I18NBundleLoader loadAsync/loadSync with locale and encoding parameters	2026-03-19
ISS-316	sge/src/main/scala/sge/assets/loaders/BitmapFontLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/BitmapFontLoader.scala:9] Missing test for BitmapFontLoader getDependencies resolves font textures; loadSync assembles BitmapFont (requires GL context)	2026-03-19
ISS-317	sge/src/main/scala/sge/assets/loaders/CubemapLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/CubemapLoader.scala:9] Missing test for CubemapLoader loadAsync/loadSync with KTX and parameter-supplied data (requires GL context)	2026-03-19
ISS-318	sge/src/main/scala/sge/assets/loaders/FileHandleResolver.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/loaders/FileHandleResolver.scala:12] Missing test for ForResolution.choose() picks best resolution for screen size; Prefix.resolve prepends prefix	2026-03-19
ISS-319	sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala:21] Missing test for decode a real .obj/.mtl file (Wavefront) end-to-end through ObjLoader	2026-03-19
ISS-320	sge/src/main/scala/sge/maps/tiled/TideMapLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/maps/tiled/TideMapLoader.scala:20] Missing test for decode a real .tide file end-to-end through TideMapLoader	2026-03-19
ISS-321	sge/src/test/scala/sge/scenes/scene2d/ui/SkinStyleReaderTest.scala	review-grok	open	minor	[File: sge/src/test/scala/sge/scenes/scene2d/ui/SkinStyleReaderTest.scala:6] Missing test for decode a real .skin file (e.g. libgdx/tests/ uiskin.json) end-to-end through Skin.load	2026-03-19
ISS-322	sge/src/test/scala/sge/maps/tiled/BaseTiledMapLoaderTest.scala	review-grok	open	minor	[File: sge/src/test/scala/sge/maps/tiled/BaseTiledMapLoaderTest.scala:8] Missing test for decode a real .tmx file from libgdx/tests/ end-to-end through BaseTmxMapLoader	2026-03-19
ISS-323	sge/src/test/scala/sge/maps/tiled/BaseTiledMapLoaderTest.scala	review-grok	open	minor	[File: sge/src/test/scala/sge/maps/tiled/BaseTiledMapLoaderTest.scala:9] Missing test for decode a real .tmj file from libgdx/tests/ end-to-end through BaseTmjMapLoader	2026-03-19
ISS-324	sge/src/test/scala/sge/maps/tiled/BaseTiledMapLoaderTest.scala	review-grok	open	minor	[File: sge/src/test/scala/sge/maps/tiled/BaseTiledMapLoaderTest.scala:10] Missing test for decode a real .tiled-project file end-to-end through BaseTiledMapLoader.loadProjectFile	2026-03-19
ISS-325	sge/src/test/scala/sge/graphics/g3d/loader/G3dModelLoaderTest.scala	review-grok	open	minor	[File: sge/src/test/scala/sge/graphics/g3d/loader/G3dModelLoaderTest.scala:8] Missing test for decode a real .g3dj file from libgdx/tests/ (e.g. cube.g3dj) end-to-end through G3dModelLoader	2026-03-19
ISS-326	sge/src/main/scala/sge/assets/AssetManager.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/assets/AssetManager.scala:338] Missing integration test for end-to-end asset loading flow: Load real asset types (e.g., Texture, BitmapFont) through AssetManager with act	2026-03-19
ISS-327	sge/src/main/scala/sge/graphics/g2d/SpriteBatch.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/graphics/g2d/SpriteBatch.scala:1] Missing integration test for SpriteBatch rendering pipeline: Load texture via AssetManager, set up SpriteBatch, render sprites to screen	2026-03-19
ISS-328	sge/src/main/scala/sge/scenes/scene2d/Stage.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/scenes/scene2d/Stage.scala:1] Missing integration test for Scene2D event handling and layout flow: Create Stage with Actors, simulate input events, verify event propagati	2026-03-19
ISS-329	sge/src/main/scala/sge/input/InputMultiplexer.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/input/InputMultiplexer.scala:1] Missing integration test for input processing flow: Set up InputMultiplexer with processors, simulate input events, verify correct process	2026-03-19
ISS-330	sge/src/main/scala/sge/audio/Sound.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/audio/Sound.scala:1] Missing integration test for audio playback flow: Load sound asset, play it, control volume/pitch, verify playback behavior.	2026-03-19
ISS-331	sge/src/main/scala/sge/ApplicationListener.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/ApplicationListener.scala:1] Missing integration test for game loop flow: Implement ApplicationListener integrating graphics, input, and audio subsystems in a frame loop,	2026-03-19
ISS-332	sge/src/main/scala/sge/net/Net.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/net/Net.scala:1] Missing integration test for networking flow: Set up HttpClient, perform requests, verify responses and error handling.	2026-03-19
ISS-333	sge/src/main/scala/sge/maps/tiled/TiledMapLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/maps/tiled/TiledMapLoader.scala:52] Missing integration test for TiledMap loading and rendering flow: Load TiledMap from file, render layers, verify visual output.	2026-03-19
ISS-334	sge/src/main/scala/sge/graphics/g3d/particles/ParticleEffectLoader.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/graphics/g3d/particles/ParticleEffectLoader.scala:49] Missing integration test for particle effects flow: Load ParticleEffect, simulate over time, verify rendering and be	2026-03-19
ISS-335	sge/src/main/scala/sge/scenes/scene2d/ui/Button.scala	review-grok	open	minor	[File: sge/src/main/scala/sge/scenes/scene2d/ui/Button.scala:1] Missing integration test for UI widget interactions: Create UI widgets (Button, TextField), simulate user interactions, verify event han	2026-03-19
ISS-336	porting/sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-337	porting/sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-338	porting/sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-339	porting/sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-340	porting/sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-341	porting/sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-342	porting/sge/src/main/scala/sge/graphics/TextureArray.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/src/main/scala/sge/graphics/TextureArray.scala:79] Passing null to Java interop method glTexImage3D without @nowarn annotation, assuming null is acc	2026-03-19
ISS-343	porting/sge/graphics/g3d/decals/DecalBatch.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-344	porting/sge/graphics/g3d/ModelCache.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-345	porting/sge/graphics/g3d/ModelCache.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/graphics/g3d/ModelCache.scala:95] Setting mesh field to null, assuming null is acceptable for mutable fields in Scala like in Java, violating the no	2026-03-19
ISS-346	porting/sge/utils/DynamicArray.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/utils/DynamicArray.scala:57] Private field initialized to null, assuming null is acceptable for internal mutable state in Scala.	2026-03-19
ISS-347	porting/sge/utils/DynamicArray.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/utils/DynamicArray.scala:58] Private field initialized to null, assuming null is acceptable for internal mutable state in Scala.	2026-03-19
ISS-348	porting/sge/assets/AssetManager.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/assets/AssetManager.scala:854] Field defaulted to null, assuming null is acceptable for uninitialized mutable containers in Scala.	2026-03-19
ISS-349	porting/sge/graphics/g2d/GlyphLayout.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-350	porting/sge/graphics/g2d/GlyphLayout.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-351	porting/sge/maps/tiled/BaseTmxMapLoader.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/maps/tiled/BaseTmxMapLoader.scala:520] Local var initialized to null, assuming null is acceptable for temporary variables in Scala like in Java.	2026-03-19
ISS-352	porting/sge/maps/tiled/BaseTmxMapLoader.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/maps/tiled/BaseTmxMapLoader.scala:777] Local var initialized to null, assuming null is acceptable for temporary variables in Scala like in Java.	2026-03-19
ISS-353	porting/sge/maps/tiled/TideMapLoader.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/maps/tiled/TideMapLoader.scala:244] Local var initialized to null, assuming null is acceptable for temporary variables in Scala like in Java.	2026-03-19
ISS-354	porting/sge/maps/tiled/BaseTmjMapLoader.scala	review-grok	open	major	[File: /Users/dev/Workspaces/GitHub/sge-porting/sge/maps/tiled/BaseTmjMapLoader.scala:753] Local var initialized to null, assuming null is acceptable for temporary variables in Scala like in Java.	2026-03-19
ISS-355	sge/src/main/scala/sge/graphics/glutils/GLVersion.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-356	sge/src/main/scala/sge/graphics/glutils/GLVersion.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-357	sge/src/main/scala/sge/graphics/glutils/GLVersion.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-358	sge/src/main/scala/sge/graphics/glutils/KTXTextureData.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-359	sge/src/main/scala/sge/scenes/scene2d/Stage.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-360	sge/src/main/scala/sge/maps/tiled/TideMapLoader.scala	review-grok	open	critical	[File: sge/src/main/scala/sge/maps/tiled/TideMapLoader.scala:174] loadTileSheet skips reading the Description child element that Java reads; harmless but omits data	2026-03-19
ISS-361	sge/src/main/scala/sge/maps/tiled/TideMapLoader.scala	review-grok	open	critical	[File: sge/src/main/scala/sge/maps/tiled/TideMapLoader.scala:175] loadTileSheet wraps tile creation in texture.foreach for null safety, changing behavior: Scala skips tile creation if imageResolver re	2026-03-19
ISS-362	sge/src/main/scala/sge/graphics/glutils/VertexBufferObjectSubData.scala	review-grok	open	critical	[File: sge/src/main/scala/sge/graphics/glutils/VertexBufferObjectSubData.scala:65] Passing null to Java GL API glBufferData without @nowarn comment, violating no-null rule.	2026-03-19
ISS-363	sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-364	sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-365	sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-366	sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-367	sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-368	sge/src/main/scala/sge/graphics/g3d/loader/ObjLoader.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-369	sge/src/main/scala/sge/scenes/scene2d/Stage.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-370	sge/src/main/scala/sge/scenes/scene2d/Stage.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-371	sge/src/main/scala/sge/scenes/scene2d/Stage.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-372	sge/src/main/scala/sge/graphics/g3d/utils/DefaultTextureBinder.scala	review-grok	open	critical	[File: sge/src/main/scala/sge/graphics/g3d/utils/DefaultTextureBinder.scala:75] Setting array element 'textures(i)' to null instead of Nullable.empty, violating no-null rule.	2026-03-19
ISS-373	sge/src/main/scala/sge/graphics/g3d/ModelCache.scala	review-grok	open	critical	[File: sge/src/main/scala/sge/graphics/g3d/ModelCache.scala:95] Setting field 'mesh' to null instead of Nullable.empty, violating no-null rule.	2026-03-19
ISS-374	sge/src/main/scala/sge/graphics/g3d/ModelCache.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-375	sge/src/main/scala/sge/graphics/g3d/decals/DecalBatch.scala	review-grok	resolved	critical	Verified resolved 2026-03-19	2026-03-19
ISS-376	sge/src/main/scala/sge/graphics/g3d/decals/DecalBatch.scala	review-grok	open	critical	[File: sge/src/main/scala/sge/graphics/g3d/decals/DecalBatch.scala:207] Setting field 'vertices' to null instead of Nullable.empty, violating no-null rule.	2026-03-19
ISS-377	sge/src/main/scala/sge/graphics/TextureArray.scala	review-grok	open	critical	[File: sge/src/main/scala/sge/graphics/TextureArray.scala:79] Passing null to Java GL API glTexImage3D without @nowarn comment, violating no-null rule.	2026-03-19
ISS-378	sge/src/main/scalajvm/sge/net/NetJavaServerSocketImpl.scala	review-grok	open	critical	[File: sge/src/main/scalajvm/sge/net/NetJavaServerSocketImpl.scala:76] Setting field 'server' to null at interop boundary without @nowarn, but comment indicates raw null is acceptable for uninitialize	2026-03-19
ISS-379	android/src/main/scala/sge/platform/PanamaPortProvider.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-380	physics/src/main/scalajs/sge/platform/PhysicsOpsJs.scala	review-grok	open	major	[File: sge-physics/src/main/scalajs/sge/platform/PhysicsOpsJs.scala] Entire object is a stub implementation where all methods throw UnsupportedOperationException, as physics is not available on Scala.	2026-03-19
ISS-381	freetype/src/main/scalajs/sge/platform/FreetypeOpsJs.scala	review-grok	open	major	[File: sge-freetype/src/main/scalajs/sge/platform/FreetypeOpsJs.scala] Entire object is a stub implementation where all methods throw UnsupportedOperationException, as FreeType is not available on Sca	2026-03-19
ISS-382	sge/src/main/scalajvm/sge/AndroidInput.scala	review-grok	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-383	sge/src/main/scalajvm/sge/graphics/AngleGL30.scala	review-grok	open	major	[File: sge/src/main/scalajvm/sge/graphics/AngleGL30.scala:167] glGetBufferPointerv method throws UnsupportedOperationException as it is not implemented.	2026-03-19
ISS-384	sge/src/main/scalanative/sge/graphics/AngleGL30Native.scala	review-grok	open	major	[File: sge/src/main/scalanative/sge/graphics/AngleGL30Native.scala:234] glGetBufferPointerv method throws UnsupportedOperationException as it is not implemented.	2026-03-19
